excipere, excipio; excepi; exceptum, ausnehmen; eine Ausnahme machen, LW_2_Hygien
ianua, , die Tür; der Eingang, LW_2_Hygien
formosus, a um, wohlgestaltet; schön, LW_2_Hygien
secundum, Präp. m. Akk., zugunsten (von jmd.), LW_2_Hygien
regnare, , herrschen, LW_2_Hygien
coniugium, , die Ehe, LW_2_Hygien
postea, Adv, nacher; später, LW_WH_2_Hygien
incipere, incipio; coepi (incepi); inceptum, anfangen; beginnen, LW_WH_2_Hygien
oriri, orior; ortus sum, entstehen; sich erheben, LW_WH_2_Hygien
iudicare,, beurteilen; urteilen, LW_WH_2_Hygien
polliceri, polliceor; pollicitus sum, versprechen, LW_WH_2_Hygien
terra, , die Erde; das Land, LW_WH_2_Hygien
ceteri, ae a, die übrigen, LW_WH_2_Hygien
pulcher, pulchra; pulchrum, schön, LW_WH_2_Hygien
