(ab oraculo) responderi, , (jmd.) geweissagt werden, LW_2_Hygien
egens, egentis, bedürftig; sehr arm, LW_2_Hygien
orator, oris, der Redner; der Bittsteller, LW_2_Hygien
insania, , der Wahnsinn; die Raserei, LW_2_Hygien
simulare, , vortäuschen; sich ausgeben als, LW_2_Hygien
expugnare, , erobern, LW_2_Hygien
habitus, us, das Aussehen; die Kleidung; der Zustand, LW_2_Hygien
solus, a um, allein; einzig, LW_WH_2_Hygien
socius, , der Gefährte; der Verbündete, LW_WH_2_Hygien
redire, redeo; redii; reditum, zurückgehen; zurückkehren, LW_WH_2_Hygien
sumere, sumo; sumpsi; sumptum, nehmen, LW_WH_2_Hygien
sentire, sentio; sensi; sensum, fühlen; meinen; wahrnehmen, LW_WH_2_Hygien
tollere, tollo; sustuli; sublatum, aufheben; in die Höhe heben; wegnehmen, LW_WH_2_Hygien
fides, fidei, der Glaube; die Treue; das Vertrauen; die Zuverlässigkeit, LW_WH_2_Hygien
fidem dare, , das Versprechen geben, LW_WH_2_Hygien
perire, pereo; perri; periturum, umkommen; zugrunde gehen, LW_WH_2_Hygien
