caro, carnis, das Fleisch, LW_4_Hygin
spelunca, , die Höhle, LW_4_Hygin
includere, includo; inclusi; inclusum, einschließen, LW_4_Hygin
immanitas, atis, die ungeheuerliche Größe, LW_4_Hygin
(ex)urere, uro; ussi; ustum, (ver)brennen, LW_4_Hygin
deridere, derrideo; derisi; derisum, verspotten; auslachen, LW_4_Hygin
inde, Adv., von dort; darauf; deshalb, LW_WH_4_Hygin
medius, a; um, der mittlere; inder Mitte (von), LW_WH_4_Hygin
ocolus, , das Auge, LW_WH_4_Hygin
iugens, igentis, gewaltig; ungeheuer, LW_WH_4_Hygin
accipere, accipio; accepi; acceptum, erhalten; erfahren, LW_WH_4_Hygin
vocare, , (be)nenen, rufen
creder, credo; credidi; creditum, anvertrauen; glauben, LW_WH_4_Hygin
ita, Adv., so, LW_WH_4_Hygien
