evadere, evado; evasi; evasum, herausgehen; entkommen, LW_5_Hygin
bestai, , das Tier, LW_5_Hygin
communtare, , verwandeln, LW_5_Hygin
quomodo, , wie; auf welche Weise, LW_5_Hygin
decipere, decipio; decepi; deceptum, täuschen; betrügen; hintergehen, LW_5_Hygin
ensis, is, das Schwert, LW_5_Hygin
stringere, stringo; strinxi; strictum, ziehen; zücken, LW_5_Hygin
minari, minor, drohen, LW_5_Hygin
qui; que; quod, ,welcher; welche; welches; der; die; das; ralativer Satzanfang: dieser; diese; dieses, LW_WH_5_Hygin
fugere, fugio; fugi, m. Akk. fliehen (vor); meiden, LW_WH_5_Hygin
conferre, confero; contuli; collatum, vergleichen; zsammentragen, LW_WH_5_Hygin
se conferre, , sich begeben, LW_WH_5_Hygin
iter, itineris, die Reise; der March; der Weg, LW_WH_5_Hygin
intellegere, interlego; intellexi; intellectum, (be)merken, verstehen; LW_WH_5_Hygin
talis, e, deratig; ein solcher; so (beschaffen), LW_WH_5_Hygin
