Musa, , die Muse, LW_6_Hygin
inferior, oris, der spätere; der weiter unten gelegene, LW_6_Hygin
cantus, us, der Gesang, LW_6_Hygin
praetervehi, praetervehor; praetervectus sum, vorbeifahren; vorbeisegeln, LW_6_Hygin
constringere, contringo; cinstrinxi; constrictum, (zusammen-)binden; fesseln, LW_6_Hygin
piscis, is, der Fisch, LW_6_Hygin
pars, partis, der Teil; die Seite; die Richtung, LW_WH_6_Hygin
fatum, , der Götterspruch; das Schicksal, LW_WH_6_Hygin
vivere, vivo; vixi; victurum, leben, LW_WH_6_Hygin
navis, is, das Schiff, LW_WH_6_Hygin
causa, , die Sache; der Prozess; die Ursache, LW_WH_6_Hygin
ibi, Adv., dort, LW_WH_6_Hygin
dies, ei, der Tag, LW_WH_6_Hygin
