naufragium, ,der Schiffbruch, LW_7_Hygin
naufragium facere, , Schiffbruch erleiden, LW_7_Hygin
donec, Subj. m. Ind., (solang) bid, LW_7_Hygin
ratis, is (Akk. ratim), das Floß, LW_7_Hygin
privare, m. Abl., (einer Sache) berauben, LW_7_Hygin
vincire, vincio; vinix; vinctum, fesseln; umgürten, LW_7_Hygin
ubi, , wo; sobald, LW_WH_7_Hygin
annus, , das Jahr, LW_WH_7_Hygin
totus, a um (Gen. totus, Dat. toti), ganz, LW_WH_7_Hygin
neque / nec, , und nicht; auch nicht; nicht einmal, LW_WH_7_Hygin
ut, Adv., wie; Subj. m. Ind. sobald; sooft; Subj. m. Konj. dass; sodass; damit, LW_WH_7_Hygin
mare, maris, das Meer, LW_WH_7_Hygin+
pectus, pectoris, die Brust; das Herz, LW_WH_7_Hygin
ne, , im Hauptsatz: nicht (verneinter Befehl oder Wunsch); Subj. m. Konj.: dass nicht; damit nicht; dass (nach Ausdrücken des Fürchtens und Hinderns), LW_WH_7_Hygin
