agnoscere, agnosco; agnovi, erkennen; wiedererkennen, LW_8_Hygin
blandiri, blandior; blanditus sum (m. Dat.), schmeicheln; liebkosen, LW_8_Hygin
texere, texo; texui; textum, webwn, LW_8_Hygin
noctu, Adv., nachts; bei Nachts, LW_8_Hygin
effigies, ei, das (Ab-)bild; die Erscheinung, LW_8_Hygin
amplecti, amplector; amplexus sum, umfassen; umarmen, LW_8_Hygin
admirari, admiror; admiratus sum, sich wunder; bewundern, LW_8_Hygin
pater, pateris, der Vater, LW_WH_8_Hygin
munus, muneris, die Aufgabe; das Geschenk, LW_WH_8_Hygin
pervenire, pervenio; perveni; perventum ad/in, mAkk. kommen zu / nach, LW_WH_8_Hygin
quidam; quaedam; quoddam (adj.) / quiddam (subst.), , ein gewisser; irgendeiner; Pl einige, LW_WH_8_Hygin
quoniam, , Subj. m. Ind. da ja; da nun, LW_WH_8_Hygin
tempus, oris, die (günstige) Zeit; die Umstände, LW_WH_8_Hygin
petere, peto; petivi; petitum, (auf)suchen; (er)sterben; bitten; verlangen, LW_WH_8_Hygin
