excipere, excipio excepi exceptum, ausnehmen eine Ausnahme machen, LW 1
ianua, , die Tür der Eingang, LW 1
formosus, a um, wohlgestaltet schön, LW 1
secundum, Präp. m. Akk., zugunsten (von jmd.), LW 1 
regnare, , herrschen, LW 1
coniugium, , die Ehe, LW 1
postea, Adv, nacher später, WH_LW 1
incipere, incipio coepi (incepi) inceptum, anfangen beginnen, WH_LW 1
oriri, orior ortus sum, entstehen sich erheben, WH_LW 1
iudicare,, beurteilen urteilen, WH_LW 1
polliceri, polliceor pollicitus sum, versprechen, WH_LW 1
terra, , die Erde das Land,WH_LW 1
ceteri, ae a, die übrigen, WH_LW 1
pulcher, pulchra pulchrum, schön, WH_LW 1
