matrimonium, , die Ehe, LW_1_Historia_Apollonii
deliberare, , erwägen; überlegen, LW_1_Historia_Apollonii
pietas, atis, die dankbare Liebe (gegenüber Kinder; Elter; Vaterland); das Pflichtgefühl, LW_1_Historia_Apollonii
oblivisci, obliviscor; obliviscor; oblitus sum, vergesen, LW_1_Historia_Apollonii
civitad, atis,die Gemeinde; der Staat;das Bürgerrecht, LW_WH_1_Historia_Apollonii
quidam, quaedam; quoddam, adj. ein gewisser; irgendeiner; Pl. einige, LW_WH_1_Historia_Apollonii
virgo, inis, das Mäddchen, LW_WH_1_Historia_Apollonii
artas, atis, das Lebensalter; das Zeitalter; die Zeit, LW_WH_1_Historia_Apollonii
accedere, accedo; accessi; accessum (ad m. Akk.), herbeikommmen; hinzukommen, LW_WH_1_Historia_Apollonii
dare, do; dedi; datum, geben, LW_WH_1_Historia_Apollonii
cogere, cogo; coegi; coactum, (ver)sammeln; zwingen, LW_WH_1_Historia_Apollonii
incipere, incipio; coepi (incepi); inceptum, anfangen; beginnen, LW_WH_1_Historia_Apollonii
oportet, m AcI, es gehört sich; es ist nötig, LW_WH_1_Historia_Apollonii
dolor, oris, der Schmerz, LW_WH_1_Historia_Apollonii
