excipere, excipio; excepi; exceptum, ausnehmen; eine Ausnahme machen, LW_1_Hygien
ianua, , die Tür; der Eingang, LW_1_Hygien
formosus, a um, wohlgestaltet; schön, LW_1_Hygien
secundum, Präp. m. Akk., zugunsten (von jmd.), LW_1_Hygien
regnare, , herrschen, LW_1_Hygien
coniugium, , die Ehe, LW_1_Hygien
postea, Adv, nacher; später, LW_WH_1_Hygien
incipere, incipio; coepi (incepi); inceptum, anfangen; beginnen, LW_WH_1_Hygien
oriri, orior; ortus sum, entstehen; sich erheben, LW_WH_1_Hygien
iudicare,, beurteilen; urteilen, LW_WH_1_Hygien
polliceri, polliceor; pollicitus sum, versprechen, LW_WH_1_Hygien
terra, , die Erde; das Land, LW_WH_1_Hygien
ceteri, ae a, die übrigen, LW_WH_1_Hygien
pulcher, pulchra; pulchrum, schön, LW_WH_1_Hygien

