decretum, , der Beschluss, LW_2_Historia_Apollonii
scientia, , das Wissen; die Kenntnis, LW_2_Historia_Apollonii
atqui, , aber doch, LW_2_Historia_Apollonii
contemnere, contemno; contempsi; contemptum,  verachten;  geringschätzten, LW_2_Historia_Apollonii
iratus, , zornig, LW_2_Historia_Apollonii
accipere, accipio; accepi; acceptum, aerhalten; erfahren, LW_WH_2_Historia_Apollonii
autem, , aber; andererseits, LW_WH_2_Historia_Apollonii
forte, Adv., zufällig, LW_WH_2_Historia_Apollonii
caput, capitis, die Haupstadt; der Kopf, LW_WH_2_Historia_Apollonii
mors, mortis, der Tod, LW_WH_2_Historia_Apollonii
nolle, nolo; nolui, nicht wollen, LW_WH_2_Historia_Apollonii
vultus, us, das Gesicht; der Gesichtsausdruck; Pl. die Gesichtszüge, LW_WH_2_Historia_Apollonii
aio, 3. Pers. Sg. ait; 3. Pers. Pl. aiunt, behaupte(te) ich; sag(t)e ich, LW_WH_2_Historia_Apollonii
no(vi)sse, novi, Perf. kennen; wissen, LW_WH_2_Historia_Apollonii
